time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.gps_time,.Mag.x,.Mag.y,.Mag.z,.Accel.x,.Accel.y,.Accel.z,.Gyro.x,.Gyro.y,.Gyro.z,.Temp,.Pressure
2020/02/28/11:00:43.129345,2149,1582909243,129305116,vectornav,1266944461.07,0.0,0.0,0.0,-0.00664618238807,0.15134935081,-9.56101036072,-0.00444063264877,-0.0124094076455,-0.00425165332854,0.0,0.0
2020/02/28/11:00:43.149414,2150,1582909243,149383736,vectornav,1266944461.09,0.0,0.0,0.0,-0.101499527693,0.137242674828,-9.41842651367,0.0268583018333,-0.0223876573145,-0.00460389629006,0.0,0.0
2020/02/28/11:00:43.169405,2151,1582909243,169366079,vectornav,1266944461.11,0.0,0.0,0.0,0.147732019424,0.24509690702,-9.24796104431,0.0310379639268,-0.0162472035736,-0.0031831022352,0.0,0.0
2020/02/28/11:00:43.189367,2152,1582909243,189314439,vectornav,1266944461.13,0.0,0.0,0.0,0.239290654659,0.103804573417,-10.158780098,-0.000874912948348,-0.0043855458498,-0.0028064744547,0.0,0.0
2020/02/28/11:00:43.209281,2153,1582909243,209252062,vectornav,1266944461.15,0.0,0.0,0.0,-0.00608015991747,0.257616877556,-10.3813199997,0.0148332137614,-0.00144514278509,-0.00255430676043,0.0,0.0
2020/02/28/11:00:43.229309,2154,1582909243,229281028,vectornav,1266944461.17,0.0,0.0,0.0,-0.184324726462,0.399849355221,-10.115480423,0.0273280907422,0.00574882794172,-0.000383676029742,0.0,0.0
2020/02/28/11:00:43.249321,2155,1582909243,249285203,vectornav,1266944461.19,0.0,0.0,0.0,-0.122090213001,0.419738531113,-10.1772260666,-0.00220387522131,0.0108890328556,0.000668321736157,0.0,0.0
2020/02/28/11:00:43.269366,2156,1582909243,269324347,vectornav,1266944461.21,0.0,0.0,0.0,-0.0985981598496,0.0225258730352,-10.0365228653,0.00714603997767,0.0203295592219,0.00229283701628,0.0,0.0
2020/02/28/11:00:43.289343,2157,1582909243,289307824,vectornav,1266944461.23,0.0,0.0,0.0,-0.104926869273,-0.0299636125565,-10.1032075882,-0.0299546383321,0.0137292863801,0.00164335034788,0.0,0.0
2020/02/28/11:00:43.309301,2158,1582909243,309232617,vectornav,1266944461.25,0.0,0.0,0.0,-0.170462846756,0.0972760766745,-10.1232500076,-0.00195321138017,0.00346573162824,0.00214017275721,0.0,0.0
2020/02/28/11:00:43.329308,2159,1582909243,329263598,vectornav,1266944461.27,0.0,0.0,0.0,-0.155889064074,0.435010015965,-9.8624124527,0.0410790741444,-0.00109178479761,0.00294132716954,0.0,0.0
2020/02/28/11:00:43.349379,2160,1582909243,349289920,vectornav,1266944461.29,0.0,0.0,0.0,0.0711784660816,0.169014960527,-8.82396411896,0.033230483532,-0.00276736193337,0.00278748758137,0.0,0.0
2020/02/28/11:00:43.369445,2161,1582909243,369388159,vectornav,1266944461.31,0.0,0.0,0.0,0.0628925710917,-0.0104832686484,-9.21236515045,-0.0336739011109,0.00984406471252,0.000697285868227,0.0,0.0
2020/02/28/11:00:43.389261,2162,1582909243,389220920,vectornav,1266944461.33,0.0,0.0,0.0,-0.0747573301196,-0.052107937634,-9.73395633698,-0.0268290266395,-0.0102439271286,-0.000923951156437,0.0,0.0
2020/02/28/11:00:43.409282,2163,1582909243,409223950,vectornav,1266944461.35,0.0,0.0,0.0,-0.0734102278948,0.247482314706,-9.42523479462,0.0623797364533,-0.00963510200381,-0.00104302540421,0.0,0.0
2020/02/28/11:00:43.429363,2164,1582909243,429298297,vectornav,1266944461.37,0.0,0.0,0.0,-0.229891091585,0.64519995451,-8.8720664978,0.010753184557,-0.0179323256016,-0.00188387650996,0.0,0.0
2020/02/28/11:00:43.449269,2165,1582909243,449228558,vectornav,1266944461.39,0.0,0.0,0.0,-0.123388037086,0.299696475267,-9.86327648163,-0.0520260967314,-0.0177762899548,-0.00252100359648,0.0,0.0
2020/02/28/11:00:43.469357,2166,1582909243,469261697,vectornav,1266944461.41,0.0,0.0,0.0,-0.204801470041,0.12974563241,-10.4557743073,0.00681621022522,-0.0183285959065,-0.00321692787111,0.0,0.0
2020/02/28/11:00:43.489298,2167,1582909243,489229389,vectornav,1266944461.43,0.0,0.0,0.0,-0.240772247314,0.352494001389,-9.53984546661,0.0122909136117,-0.0152313029394,-0.00355315115303,0.0,0.0
2020/02/28/11:00:43.509367,2168,1582909243,509294202,vectornav,1266944461.45,0.0,0.0,0.0,0.0584528371692,0.248171702027,-9.91299819946,-0.0304798521101,-0.016282055527,-0.00386171136051,0.0,0.0
2020/02/28/11:00:43.529303,2169,1582909243,529257159,vectornav,1266944461.47,0.0,0.0,0.0,0.0609389469028,0.265288382769,-10.5474004745,0.00494427187368,-0.0199704151601,-0.00267870910466,0.0,0.0
2020/02/28/11:00:43.549243,2170,1582909243,549213902,vectornav,1266944461.49,0.0,0.0,0.0,0.129299432039,-0.108103856444,-9.97788619995,0.0204587671906,-0.0054418486543,-0.00182491447777,0.0,0.0
2020/02/28/11:00:43.569250,2171,1582909243,569200482,vectornav,1266944461.51,0.0,0.0,0.0,0.130852669477,0.13934160769,-10.0915126801,-0.024419747293,0.00131556368433,-0.00175717566162,0.0,0.0
2020/02/28/11:00:43.589290,2172,1582909243,589232212,vectornav,1266944461.53,0.0,0.0,0.0,-0.0951475203037,0.486066788435,-9.96694278717,0.0200367700309,-0.00211094552651,-0.00223482772708,0.0,0.0
2020/02/28/11:00:43.609231,2173,1582909243,609199154,vectornav,1266944461.55,0.0,0.0,0.0,0.0432327501476,0.403147518635,-9.63136386871,0.0327980667353,0.0143596604466,-0.000341459177434,0.0,0.0
2020/02/28/11:00:43.629268,2174,1582909243,629208555,vectornav,1266944461.57,0.0,0.0,0.0,-0.109456762671,0.184597253799,-9.20348548889,-0.0182766001672,0.0209194608033,0.000129302032292,0.0,0.0
2020/02/28/11:00:43.649275,2175,1582909243,649184762,vectornav,1266944461.59,0.0,0.0,0.0,-0.135927662253,-0.0576156228781,-9.97724533081,-0.0270203351974,0.00899234600365,-0.00251933839172,0.0,0.0
