time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.Week,.Status,.RPY.x,.RPY.y,.RPY.z,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.YawUncertainty,.PitchUncertainty,.RollUncertainty,.PosUncertainty,.VelUncertainty,.SyncInTime,.SyncInCount
2020/02/28/11:00:08.306650,11423,1582909208,306576286,vectornav,1266944426.25,2094,33542,-1.5745652914,-0.639716267586,-163.411636353,30.6730811646,-96.3728975084,85.44472468,-0.0101290941238,-0.00586203951389,0.105122342706,1.11526012421,0.08528624475,0.0851554274559,0.67462927103,0.0985467433929,1582908092.53,0
2020/02/28/11:00:08.326663,11424,1582909208,326572734,vectornav,1266944426.27,2094,33542,-1.57464933395,-0.64002853632,-163.411346436,30.6730811628,-96.3728975097,85.4426181901,-0.0104832202196,-0.00571368681267,0.105465754867,1.11550784111,0.0854178443551,0.0852874219418,0.675581157207,0.0988860428333,1582908092.53,0
2020/02/28/11:00:08.346676,11425,1582909208,346574446,vectornav,1266944426.29,2094,15110,-1.5747897625,-0.64020639658,-163.411300659,30.6730811604,-96.3728975112,85.4405275357,-0.0108107104897,-0.00544576440006,0.105875842273,1.1157554388,0.085549518466,0.0854191705585,0.676538169384,0.0992263555527,1582908092.53,0
2020/02/28/11:00:08.366663,11426,1582909208,366592411,vectornav,1266944426.31,2094,15110,-1.5756162405,-0.640096008778,-163.411514282,30.6730812749,-96.3728975138,85.4715306784,-0.00917764008045,-0.00677527021617,0.101799353957,1.11600089073,0.0845986157656,0.0844671055675,0.668547749519,0.0966305360198,1582908092.53,0
2020/02/28/11:00:08.386615,11427,1582909208,386551446,vectornav,1266944426.33,2094,49926,-1.57531607151,-0.640821516514,-163.411102295,30.6730812724,-96.3728975152,85.4694484125,-0.00977750867605,-0.00664085708559,0.102119669318,1.11624884605,0.0847297906876,0.0845983549953,0.669469416142,0.0969672724605,1582908092.53,0
2020/02/28/11:00:08.406594,11428,1582909208,406522946,vectornav,1266944426.35,2094,49926,-1.5753620863,-0.641471505165,-163.410919189,30.6730812708,-96.3728975165,85.4673963664,-0.00998283550143,-0.0066485805437,0.102472990751,1.11649692059,0.0848610624671,0.0847296863794,0.67039591074,0.0973048582673,1582908092.53,0
2020/02/28/11:00:08.426613,11429,1582909208,426520493,vectornav,1266944426.37,2094,49926,-1.57614672184,-0.641026079655,-163.410644531,30.6730812693,-96.3728975179,85.4653394683,-0.0101939961314,-0.00680283084512,0.102561585605,1.11674499512,0.0849923714995,0.0848615467548,0.67132717371,0.0976427868009,1582908092.53,0
2020/02/28/11:00:08.446552,11430,1582909208,446493283,vectornav,1266944426.39,2094,15110,-1.57639408112,-0.640930175781,-163.410095215,30.6730812669,-96.3728975188,85.463319941,-0.010778196156,-0.00674566207454,0.102946206927,1.11699306965,0.0851237922907,0.0849929451942,0.672263383865,0.0979810655117,1582908092.53,0
2020/02/28/11:00:08.466612,11431,1582909208,466498531,vectornav,1266944426.41,2094,15110,-1.5768930912,-0.640735447407,-163.410614014,30.673081265,-96.3728975204,85.4613296685,-0.0109840668738,-0.00690076267347,0.10319442302,1.1172413826,0.0852553397417,0.0851247385144,0.673204421997,0.0983204990625,1582908092.53,0
2020/02/28/11:00:08.486566,11432,1582909208,486499814,vectornav,1266944426.43,2094,15110,-1.57700014114,-0.640801072121,-163.41003418,30.6730812636,-96.372897522,85.4591731187,-0.0110452398658,-0.00711448583752,0.103419661522,1.11748981476,0.0853869691491,0.085256382823,0.674150407314,0.0986600145698,1582908092.53,0
2020/02/28/11:00:08.506599,11433,1582909208,506495674,vectornav,1266944426.45,2094,54022,-1.57655251026,-0.64064514637,-163.410049438,30.6730812611,-96.3728975231,85.4570862597,-0.0110372193158,-0.00722447130829,0.10379357636,1.11773812771,0.0855186656117,0.0853884592652,0.675101339817,0.0990001186728,1582908092.53,0
2020/02/28/11:00:08.526551,11434,1582909208,526484060,vectornav,1266944426.47,2094,54022,-1.57625758648,-0.641041576862,-163.409622192,30.6730812589,-96.3728975243,85.4550333876,-0.0112546943128,-0.00735249463469,0.104333892465,1.11798644066,0.085650421679,0.0855204835534,0.67605727911,0.0993409901857,1582908092.53,0
2020/02/28/11:00:08.546538,11435,1582909208,546441041,vectornav,1266944426.49,2094,15110,-1.57576644421,-0.640823245049,-163.409347534,30.6730812569,-96.3728975259,85.452928434,-0.0111753083766,-0.00721557624638,0.10474652797,1.11823499203,0.0857822522521,0.0856524705887,0.677018165588,0.0996819511056,1582908092.53,0
