time,.data
2020/02/28/11:00:17.738997,0.6795008
2020/02/28/11:00:17.772738,0.6839712
2020/02/28/11:00:17.806120,0.6884416
2020/02/28/11:00:17.839103,0.692912
2020/02/28/11:00:17.872367,0.7107936
2020/02/28/11:00:17.906179,0.715264
2020/02/28/11:00:17.939596,0.7197344
2020/02/28/11:00:17.973047,0.7197344
2020/02/28/11:00:18.006363,0.7242048
2020/02/28/11:00:18.039626,0.7242048
2020/02/28/11:00:18.073640,0.7420864
2020/02/28/11:00:18.106379,0.7510272
2020/02/28/11:00:18.138696,0.7554976
2020/02/28/11:00:18.172635,0.759968
2020/02/28/11:00:18.205794,0.7644384
2020/02/28/11:00:18.239527,0.7689088
2020/02/28/11:00:18.273410,0.7778496
2020/02/28/11:00:18.306423,0.7867904
2020/02/28/11:00:18.340456,0.7867904
2020/02/28/11:00:18.373551,0.7957312
2020/02/28/11:00:18.406414,0.8091424
2020/02/28/11:00:18.439747,0.8180832
2020/02/28/11:00:18.473329,0.8180832
2020/02/28/11:00:18.506176,0.8091424
2020/02/28/11:00:18.539412,0.8091424
2020/02/28/11:00:18.572856,0.8225536
2020/02/28/11:00:18.607003,0.8404352
2020/02/28/11:00:18.640097,0.849376
2020/02/28/11:00:18.673382,0.8538464
2020/02/28/11:00:18.707690,0.8538464
2020/02/28/11:00:18.740056,0.8538464
2020/02/28/11:00:18.773779,0.8672576
2020/02/28/11:00:18.807735,0.8851392
2020/02/28/11:00:18.840587,0.8851392
2020/02/28/11:00:18.874390,0.8896096
2020/02/28/11:00:18.907563,0.89408
2020/02/28/11:00:18.940929,0.8985504
2020/02/28/11:00:18.973675,0.916432
2020/02/28/11:00:19.007708,0.9298432
2020/02/28/11:00:19.040637,0.9343136
2020/02/28/11:00:19.074289,0.9343136
2020/02/28/11:00:19.106881,0.9477248
2020/02/28/11:00:19.140653,0.9566656
2020/02/28/11:00:19.173746,0.9566656
2020/02/28/11:00:19.207190,0.9566656
2020/02/28/11:00:19.240814,0.9656064
2020/02/28/11:00:19.273932,0.9879584
2020/02/28/11:00:19.307732,1.00584
2020/02/28/11:00:19.340741,1.00584
2020/02/28/11:00:19.374771,1.0013696
2020/02/28/11:00:19.407503,1.00584
2020/02/28/11:00:19.441389,1.0103104
2020/02/28/11:00:19.474293,1.0237216
2020/02/28/11:00:19.507067,1.0326624
2020/02/28/11:00:19.540700,1.0326624
2020/02/28/11:00:19.574622,1.0326624
2020/02/28/11:00:19.607530,1.0550144
2020/02/28/11:00:19.640976,1.0639552
2020/02/28/11:00:19.674187,1.072896
2020/02/28/11:00:19.707529,1.050544
2020/02/28/11:00:19.741374,1.0460736
2020/02/28/11:00:19.774344,1.0639552
2020/02/28/11:00:19.808013,1.0997184
2020/02/28/11:00:19.840885,1.1041888
2020/02/28/11:00:19.875090,1.0997184
2020/02/28/11:00:19.907503,1.0818368
2020/02/28/11:00:19.940775,1.0907776
2020/02/28/11:00:19.974438,1.1041888
2020/02/28/11:00:20.008066,1.1354816
2020/02/28/11:00:20.041481,1.1354816
2020/02/28/11:00:20.075000,1.1220704
2020/02/28/11:00:20.107550,1.1176
2020/02/28/11:00:20.141021,1.1220704
2020/02/28/11:00:20.174374,1.1488928
2020/02/28/11:00:20.208626,1.1578336
2020/02/28/11:00:20.241932,1.1578336
2020/02/28/11:00:20.275040,1.1533632
2020/02/28/11:00:20.308660,1.1712448
2020/02/28/11:00:20.341749,1.1801856
2020/02/28/11:00:20.375507,1.1801856
2020/02/28/11:00:20.409232,1.1712448
2020/02/28/11:00:20.442106,1.1667744
2020/02/28/11:00:20.475312,1.184656
2020/02/28/11:00:20.509183,1.2114784
2020/02/28/11:00:20.542633,1.2204192
2020/02/28/11:00:20.576282,1.2248896
2020/02/28/11:00:20.609015,1.2159488
2020/02/28/11:00:20.642756,1.2204192
2020/02/28/11:00:20.675679,1.2383008
2020/02/28/11:00:20.709420,1.2427712
2020/02/28/11:00:20.742778,1.2472416
2020/02/28/11:00:20.775936,1.22936
2020/02/28/11:00:20.808774,1.2472416
2020/02/28/11:00:20.842291,1.2472416
2020/02/28/11:00:20.875565,1.2651232
2020/02/28/11:00:20.909242,1.274064
2020/02/28/11:00:20.943646,1.2561824
2020/02/28/11:00:20.976278,1.2338304
2020/02/28/11:00:21.009864,1.2427712
2020/02/28/11:00:21.043246,1.2651232
2020/02/28/11:00:21.076514,1.3098272
2020/02/28/11:00:21.109593,1.3008864
2020/02/28/11:00:21.143463,1.274064
2020/02/28/11:00:21.176946,1.2472416
2020/02/28/11:00:21.210213,1.274064
2020/02/28/11:00:21.243606,1.2874752
2020/02/28/11:00:21.276328,1.3053568
2020/02/28/11:00:21.310120,1.296416
2020/02/28/11:00:21.343987,1.274064
2020/02/28/11:00:21.377826,1.274064
2020/02/28/11:00:21.411829,1.3008864
2020/02/28/11:00:21.445063,1.3321792
2020/02/28/11:00:21.478250,1.3277088
2020/02/28/11:00:21.511497,1.2919456
2020/02/28/11:00:21.544599,1.2695936
2020/02/28/11:00:21.578647,1.2874752
2020/02/28/11:00:21.611394,1.318768
2020/02/28/11:00:21.645288,1.3545312
2020/02/28/11:00:21.678381,1.3455904
2020/02/28/11:00:21.711834,1.3098272
2020/02/28/11:00:21.745427,1.3053568
2020/02/28/11:00:21.778400,1.318768
2020/02/28/11:00:21.811373,1.3455904
2020/02/28/11:00:21.844821,1.3366496
2020/02/28/11:00:21.878124,1.3277088
2020/02/28/11:00:21.911697,1.318768
2020/02/28/11:00:21.945432,1.34112
2020/02/28/11:00:21.978359,1.3590016
2020/02/28/11:00:22.012243,1.363472
2020/02/28/11:00:22.045977,1.34112
2020/02/28/11:00:22.078879,1.3366496
2020/02/28/11:00:22.112729,1.3366496
2020/02/28/11:00:22.146151,1.3500608
2020/02/28/11:00:22.179107,1.3590016
2020/02/28/11:00:22.211863,1.363472
2020/02/28/11:00:22.245390,1.34112
2020/02/28/11:00:22.278584,1.34112
2020/02/28/11:00:22.312640,1.363472
2020/02/28/11:00:22.345921,1.3768832
2020/02/28/11:00:22.379243,1.3768832
2020/02/28/11:00:22.411978,1.363472
2020/02/28/11:00:22.446252,1.3500608
2020/02/28/11:00:22.478812,1.3455904
2020/02/28/11:00:22.512940,1.3590016
2020/02/28/11:00:22.545931,1.3724128
2020/02/28/11:00:22.579593,1.3902944
2020/02/28/11:00:22.613398,1.3768832
2020/02/28/11:00:22.646380,1.3590016
2020/02/28/11:00:22.680498,1.3590016
2020/02/28/11:00:22.713223,1.3813536
2020/02/28/11:00:22.746745,1.3947648
2020/02/28/11:00:22.780949,1.3992352
2020/02/28/11:00:22.814000,1.3768832
2020/02/28/11:00:22.846957,1.3724128
2020/02/28/11:00:22.880886,1.3768832
2020/02/28/11:00:22.913721,1.4037056
2020/02/28/11:00:22.947524,1.408176
